Div.,Tool_Description,Tag_ID,Model_Part_No,Serial_No,Range,Tolerence Limit,In_Use,Calibration_Interval_Years,Last_Calibration_Date,Next_Calibration_Date,Months_Remaining,Cal_type,Calibration_Report_No,P.I.C.,Overdue_Flag,Last_Calibration_Days,Next_Calibration_Days,Days_Since_Last_Calibration,Days_Until_Next_Calibration,Brand_ACEZ,Brand_AIKOH,Brand_AW-LAKE,Brand_Azono,Brand_CAPRI,Brand_DC/LT-DE,Brand_Dunkes,Brand_ECE,Brand_ELORA,Brand_FLUKE,Brand_Force,Brand_HOLEX,Brand_HYDROTECHNIK,Brand_Hengliang,Brand_Hydrotechnik,Brand_IMADA,Brand_KANON,Brand_KARL,Brand_MAHR,Brand_MITUTOYO,Brand_OPUS,Brand_PREMIUM,Brand_Preisser ,Brand_REXROTH,Brand_SHIMPO,Brand_STAHLWILLE,Brand_Sanliang,Brand_TESA,Brand_TOHNICHI,Brand_WIKA,"Calibrator_DCSG Internal Calibration
(Refer DCPD 50310-010)",Calibrator_HYDROTECHNIK,Calibrator_Key Solutions,Calibrator_Opus Precision,Calibrator_OrchidCal,Calibration_Overdue,Anomaly_Score_AE,Risk_Score
HY,Tachometer (non-contact),BR_04,PH-200L,BB4B4502,6~99999 rpm,4,1,1.0,2023-03-13 00:00:00.000000000,2025-03-13,0.3702651515151515,Lab,OR-23-1217,JS,False,390,391,0.6344892221180881,0.3702651515151515,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,1.0,74.271614339269
HY,(B.1)  LHD Test Rig: Flow meter,QT 100 ,31V7-72-S-35.030,21319,0~600 L/min,0,1,1.0,2022-02-16 00:00:00.000000000,2024-02-16,0.0,In-House,OR-22-1037,JS,True,0,0,1.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,0.0,70.0
HY,(3.C.1) Torque Wrench,,730/30 Quick,224098609,"60-300 N-m, 50-220 ft-ib",4,1,0.0,2024-03-04 00:00:00.000000000,2025-03-04,0.3617424242424242,Lab,654064,RC,False,747,382,0.2999062792877226,0.3617424242424242,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1.0,61.14397844423618
HY,(3.C.2) Torque Wrench,,730/30 Quick,124101300,"60-300 N-m, 50-220 ft-ib",4,1,0.0,2024-03-05 00:00:00.000000000,2025-03-05,0.3626893939393939,Lab,654561,RC,False,748,383,0.2989690721649484,0.362689393939394,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1.0,61.078081068416125
